ddd-asmt_stdnt_abd

1,accuracy,0.9088052664691981
1,precision,1.0
1,recall,0.9088052664691981
1,f_score,0.9522241780522306

2,accuracy,0.9088052664691981
2,precision,1.0
2,recall,0.9088052664691981
2,f_score,0.9522241780522306

3,accuracy,0.9088052664691981
3,precision,1.0
3,recall,0.9088052664691981
3,f_score,0.9522241780522306

4,accuracy,0.9088721672831227
4,precision,0.9998160412067696
4,recall,0.9090035428604694
4,f_score,0.9521323724247793

5,accuracy,0.9081702509279965
5,precision,0.998308079762476
5,recall,0.9094889848059612
5,f_score,0.9513784941946725

6,accuracy,0.9082370734916221
6,precision,0.9980136915678809
6,recall,0.9097680705186268
6,f_score,0.9512321146935104

7,accuracy,0.9055628967127209
7,precision,0.9940044859153462
7,recall,0.9103255906503147
7,f_score,0.94922351371755

8,accuracy,0.902921840596758
8,precision,0.9904363618945091
8,recall,0.910586284402202
8,f_score,0.9474295562421782

9,accuracy,0.8996798061378406
9,precision,0.9857283969861881
9,recall,0.9111546659084458
9,f_score,0.9450510403967411

10,accuracy,0.8951663880899222
10,precision,0.9777827843797265
10,recall,0.9130329760150099
10,f_score,0.9410200265857114

