bbb-asmt_stdnt_abd

1,accuracy,0.9657464375124695
1,precision,1.0
1,recall,0.9657464375124695
1,f_score,0.98257477772973

2,accuracy,0.9657464375124695
2,precision,1.0
2,recall,0.9657464375124695
2,f_score,0.98257477772973

3,accuracy,0.966792181755884
3,precision,0.9988690585805801
3,recall,0.9677803431352754
3,f_score,0.982009127390804

4,accuracy,0.9668153997555111
4,precision,0.9980990469175095
4,recall,0.9685020522003984
4,f_score,0.9816236175475384

5,accuracy,0.966675962146307
5,precision,0.9979546599583744
5,recall,0.9684976705316931
5,f_score,0.9815512322428992

6,accuracy,0.9658393203125589
6,precision,0.996246211239401
6,recall,0.9692400022435098
6,f_score,0.9806946335921604

7,accuracy,0.9656301908926647
7,precision,0.9956205344164817
7,recall,0.9696089956204613
7,f_score,0.9803806259159474

8,accuracy,0.9649330082687724
8,precision,0.9951633408963773
8,recall,0.9693443544818334
8,f_score,0.9801509548782793

9,accuracy,0.9647238464717475
9,precision,0.9943452523659124
9,recall,0.9698890298690095
9,f_score,0.9797396518712459

10,accuracy,0.9637943326369809
10,precision,0.9933827479213212
10,recall,0.9698603322545584
10,f_score,0.9792560048856224

