ccc-asmt_abd

1,accuracy,0.25997139616640297
1,precision,0.19204550572762621
1,recall,0.971676002508967
1,f_score,0.2973737325364785

2,accuracy,0.6294269958133956
2,precision,0.6324425777737741
2,recall,0.9407222093326866
2,f_score,0.7303345452619381

3,accuracy,0.6172144987131896
3,precision,0.6228891941621084
3,recall,0.9343835217798178
3,f_score,0.7229803097995435

4,accuracy,0.6581522466815825
4,precision,0.6661517057766702
4,recall,0.9408982114005815
4,f_score,0.7542894373536555

5,accuracy,0.6941613870477684
5,precision,0.7163943813046009
5,recall,0.9317964300960286
5,f_score,0.788088812016267

6,accuracy,0.7099571453980127
6,precision,0.7352449192026863
6,recall,0.9316668402874457
6,f_score,0.8011425022497936

7,accuracy,0.7439705342810405
7,precision,0.7798705257872462
7,recall,0.9272102687866992
7,f_score,0.8297393669427423

8,accuracy,0.7384477571316086
8,precision,0.7740573229707255
8,recall,0.9264448476414595
8,f_score,0.826092652992258

9,accuracy,0.7639941251365818
9,precision,0.807502756633854
9,recall,0.9235275934690408
9,f_score,0.8467211579347966

10,accuracy,0.7631692843405053
10,precision,0.8038859779502655
10,recall,0.9260879551672023
10,f_score,0.8446461017483269

