ddd-asmt_abd

1,accuracy,0.5123686127178894
1,precision,0.4902519295037971
1,recall,0.9481375824254329
1,f_score,0.6164143544933878

2,accuracy,0.7010354991057745
2,precision,0.7172028602040366
2,recall,0.9400066487784174
2,f_score,0.7866739450496357

3,accuracy,0.652774407630812
3,precision,0.6542352199021357
3,recall,0.9475663953179266
3,f_score,0.7453338254197797

4,accuracy,0.627130516469672
4,precision,0.6205037128689426
4,recall,0.9529311611695244
4,f_score,0.7207160150585282

5,accuracy,0.6878721255411588
5,precision,0.6942170770591815
5,recall,0.948532902581146
5,f_score,0.7736094412258027

6,accuracy,0.7294226360261071
6,precision,0.749244395515059
6,recall,0.9411112026181417
6,f_score,0.8098782332125432

7,accuracy,0.7584410878815929
7,precision,0.7842643312627652
7,recall,0.9400936935655982
7,f_score,0.8321093774862824

8,accuracy,0.7710097546378576
8,precision,0.8015150789378749
8,recall,0.9375059417946447
8,f_score,0.8427885310252231

9,accuracy,0.7784971007520561
9,precision,0.8114463369399812
9,recall,0.9363842409722467
9,f_score,0.8488082542086832

10,accuracy,0.7927397297278775
10,precision,0.8309428432790158
10,recall,0.933715541564234
10,f_score,0.8604633647020341

