module,attributes,sample,metric,score
ccc,abd,non-smote,precision,0.8650985818056036
ccc,abd,non-smote,recall,0.9237872445210539
ccc,abi,non-smote,accuracy,0.797864467702717
ccc,abi,non-smote,fscore,0.875
ccc,abi,non-smote,precision,0.8482647296206618
ccc,abi,non-smote,recall,0.9250597258896014
ccc,asmt_stdnt,non-smote,accuracy,0.7975473094407443
ccc,asmt_stdnt,non-smote,fscore,0.8776030851379413
ccc,asmt_stdnt,non-smote,precision,0.852761443560475
ccc,asmt_stdnt,non-smote,recall,0.920587503111775
ccc,asmt_abd,non-smote,accuracy,0.7945871656623321
ccc,asmt_abd,non-smote,fscore,0.8758022343712859
ccc,asmt_abd,non-smote,precision,0.8496483339098351
ccc,asmt_abd,non-smote,recall,0.9202047952047953
ccc,asmt_abi,non-smote,accuracy,0.7550481023363992
ccc,asmt_abi,non-smote,fscore,0.842723435492751
ccc,asmt_abi,non-smote,precision,0.7941888619854721
ccc,asmt_abi,non-smote,recall,0.9283018867924528
ccc,stdnt_abd,non-smote,accuracy,0.8152024526905592
ccc,stdnt_abd,non-smote,fscore,0.8872419269454738
ccc,stdnt_abd,non-smote,precision,0.8695952957454168
ccc,stdnt_abd,non-smote,recall,0.924377987498468
ccc,stdnt_abi,non-smote,accuracy,0.808542129189132
ccc,stdnt_abi,non-smote,fscore,0.8825753101004135
ccc,stdnt_abi,non-smote,precision,0.8614089703678082
ccc,stdnt_abi,non-smote,recall,0.9246287128712871
ccc,asmt_stdnt_abd,non-smote,accuracy,0.7769320224125171
ccc,asmt_stdnt_abd,non-smote,fscore,0.8610475617098133
ccc,asmt_stdnt_abd,non-smote,precision,0.8245128559898536
ccc,asmt_stdnt_abd,non-smote,recall,0.9240211913683939
ccc,asmt_stdnt_abi,non-smote,accuracy,0.7823237128660535
ccc,asmt_stdnt_abi,non-smote,fscore,0.8644657863145259
ccc,asmt_stdnt_abi,non-smote,precision,0.8302778738614089
ccc,asmt_stdnt_abi,non-smote,recall,0.9246276322547509
ddd,asmt,non-smote,accuracy,0.9348480288895576
ddd,asmt,non-smote,fscore,0.9663270860875651
ddd,asmt,non-smote,precision,1.0
ddd,asmt,non-smote,recall,0.9348480288895576
ddd,stdnt,non-smote,accuracy,0.8811315076737888
ddd,stdnt,non-smote,fscore,0.9341672680619036
ddd,stdnt,non-smote,precision,0.9375502977627556
ddd,stdnt,non-smote,recall,0.9354424281355388
ddd,abd,non-smote,accuracy,0.8078543484802889
ddd,abd,non-smote,fscore,0.8834943301133977
ddd,abd,non-smote,precision,0.846450989859971
ddd,abd,non-smote,recall,0.9421354353278395
ddd,abi,non-smote,accuracy,0.8417092988263617
ddd,abi,non-smote,fscore,0.9044753976757604
ddd,abi,non-smote,precision,0.883148237566393
ddd,abi,non-smote,recall,0.9439188026836401
ddd,asmt_stdnt,non-smote,accuracy,0.8504363526933494
ddd,asmt_stdnt,non-smote,fscore,0.9120969062039613
ddd,asmt_stdnt,non-smote,precision,0.8968292290358925
ddd,asmt_stdnt,non-smote,recall,0.94042194092827
ddd,asmt_abd,non-smote,accuracy,0.8161300030093289
ddd,asmt_abd,non-smote,fscore,0.8840567542607674
ddd,asmt_abd,non-smote,precision,0.8474167069048769
ddd,asmt_abd,non-smote,recall,0.9505325871095865
ddd,asmt_abi,non-smote,accuracy,0.8287691844718628
ddd,asmt_abi,non-smote,fscore,0.8946361746361746
ddd,asmt_abi,non-smote,precision,0.8657653307580879
ddd,asmt_abi,non-smote,recall,0.9465071265176843
ddd,stdnt_abd,non-smote,accuracy,0.8099608787240445
ddd,stdnt_abd,non-smote,fscore,0.8855537855286325
ddd,stdnt_abd,non-smote,precision,0.8499919523579591
ddd,stdnt_abd,non-smote,recall,0.9410192444761226
