module,attributes,cluster,metric,score
ccc,asmt_abi,kmeans,recall,0.11937377690802348
ccc,stdnt_abd,kmeans,accuracy,0.7975473094407443
ccc,stdnt_abd,kmeans,fscore,0.035921926910299
ccc,stdnt_abd,kmeans,precision,0.22010178117048346
ccc,stdnt_abd,kmeans,recall,0.11728813559322034
ccc,stdnt_abi,kmeans,accuracy,0.8031504387355958
ccc,stdnt_abi,kmeans,fscore,0.04141215446733616
ccc,stdnt_abi,kmeans,precision,0.2544529262086514
ccc,stdnt_abi,kmeans,recall,0.13550135501355012
ccc,asmt_stdnt_abd,kmeans,accuracy,0.7373929590865842
ccc,asmt_stdnt_abd,kmeans,fscore,0.051899907321594066
ccc,asmt_stdnt_abd,kmeans,precision,0.32061068702290074
ccc,asmt_stdnt_abd,kmeans,recall,0.11444141689373297
ccc,asmt_stdnt_abi,kmeans,accuracy,0.786446770271699
ccc,asmt_stdnt_abi,kmeans,fscore,0.0442468727385506
ccc,asmt_stdnt_abi,kmeans,precision,0.272264631043257
ccc,asmt_stdnt_abi,kmeans,recall,0.12876052948255115
ddd,asmt,kmeans,accuracy,0.9348480288895576
ddd,asmt,kmeans,fscore,0.0
ddd,asmt,kmeans,precision,0.0
ddd,asmt,kmeans,recall,0.0
ddd,stdnt,kmeans,accuracy,0.886698766175143
ddd,stdnt,kmeans,fscore,0.009285607308671558
ddd,stdnt,kmeans,precision,0.07159353348729793
ddd,stdnt,kmeans,recall,0.08115183246073299
ddd,abd,kmeans,accuracy,0.8045440866686728
ddd,abd,kmeans,fscore,0.02993923225137098
ddd,abd,kmeans,precision,0.23325635103926096
ddd,abd,kmeans,recall,0.0945692883895131
ddd,abi,kmeans,accuracy,0.8007824255191093
ddd,abi,kmeans,fscore,0.026136026136026135
ddd,abi,kmeans,precision,0.20323325635103925
ddd,abi,kmeans,recall,0.08247422680412371
ddd,asmt_stdnt,kmeans,accuracy,0.8405055672585013
ddd,asmt_stdnt,kmeans,fscore,0.02730780647076284
ddd,asmt_stdnt,kmeans,precision,0.21247113163972287
ddd,asmt_stdnt,kmeans,recall,0.11344019728729964
ddd,asmt_abd,kmeans,accuracy,0.7904002407463135
ddd,asmt_abd,kmeans,fscore,0.0377915559492176
ddd,asmt_abd,kmeans,precision,0.2956120092378753
ddd,asmt_abd,kmeans,recall,0.10526315789473684
ddd,asmt_abi,kmeans,accuracy,0.8028889557628649
ddd,asmt_abi,kmeans,fscore,0.039817136115617165
ddd,asmt_abi,kmeans,precision,0.3117782909930716
ddd,asmt_abi,kmeans,recall,0.11769834350479512
ddd,stdnt_abd,kmeans,accuracy,0.822750526632561
ddd,stdnt_abd,kmeans,fscore,0.03139810426540284
ddd,stdnt_abd,kmeans,precision,0.24480369515011546
ddd,stdnt_abd,kmeans,recall,0.11076280041797283
ddd,stdnt_abi,kmeans,accuracy,0.8280168522419501
ddd,stdnt_abi,kmeans,fscore,0.029062870699881376
ddd,stdnt_abi,kmeans,precision,0.22632794457274827
ddd,stdnt_abi,kmeans,recall,0.10816777041942605
ddd,asmt_stdnt_abd,kmeans,accuracy,0.8170328016852242
ddd,asmt_stdnt_abd,kmeans,fscore,0.030814814814814816
ddd,asmt_stdnt_abd,kmeans,precision,0.24018475750577367
ddd,asmt_stdnt_abd,kmeans,recall,0.10494450050454086
ddd,asmt_stdnt_abi,kmeans,accuracy,0.8207944628347879
ddd,asmt_stdnt_abi,kmeans,fscore,0.03168961942840219
ddd,asmt_stdnt_abi,kmeans,precision,0.2471131639722864
ddd,asmt_stdnt_abi,kmeans,recall,0.11008230452674897
eee,asmt,kmeans,accuracy,0.9853990914990266
eee,asmt,kmeans,fscore,0.0
eee,asmt,kmeans,precision,0.0
eee,asmt,kmeans,recall,0.0
eee,stdnt,kmeans,accuracy,0.9695003244646333
eee,stdnt,kmeans,fscore,0.0
eee,stdnt,kmeans,precision,0.0
eee,stdnt,kmeans,recall,0.0
eee,abd,kmeans,accuracy,0.9626865671641791
eee,abd,kmeans,fscore,0.003239390994493035
eee,abd,kmeans,precision,0.1111111111111111
eee,abd,kmeans,recall,0.0625
eee,abi,kmeans,accuracy,0.9558728098637248
eee,abi,kmeans,fscore,0.0012970168612191958
eee,abi,kmeans,precision,0.044444444444444446
eee,abi,kmeans,recall,0.021052631578947368
eee,asmt_stdnt,kmeans,accuracy,0.95425048669695
eee,asmt_stdnt,kmeans,fscore,0.0
eee,asmt_stdnt,kmeans,precision,0.0
eee,asmt_stdnt,kmeans,recall,0.0
eee,asmt_abd,kmeans,accuracy,0.9263465282284231
eee,asmt_abd,kmeans,fscore,0.004532211071544189
eee,asmt_abd,kmeans,precision,0.15555555555555556
eee,asmt_abd,kmeans,recall,0.03571428571428571
eee,asmt_abi,kmeans,accuracy,0.9523036988968202
eee,asmt_abi,kmeans,fscore,0.002592352559948153
eee,asmt_abi,kmeans,precision,0.08888888888888889
eee,asmt_abi,kmeans,recall,0.03636363636363636
eee,stdnt_abd,kmeans,accuracy,0.9506813757300454
eee,stdnt_abd,kmeans,fscore,0.002592352559948153
eee,stdnt_abd,kmeans,precision,0.08888888888888889
eee,stdnt_abd,kmeans,recall,0.034782608695652174
eee,stdnt_abi,kmeans,accuracy,0.9503569110966905
eee,stdnt_abi,kmeans,fscore,0.005177993527508091
eee,stdnt_abi,kmeans,precision,0.17777777777777778
eee,stdnt_abi,kmeans,recall,0.06451612903225806
eee,asmt_stdnt_abd,kmeans,accuracy,0.9471122647631408
eee,asmt_stdnt_abd,kmeans,fscore,0.005823358136525397
eee,asmt_stdnt_abd,kmeans,precision,0.2
eee,asmt_stdnt_abd,kmeans,recall,0.0661764705882353
eee,asmt_stdnt_abi,kmeans,accuracy,0.9581440622972096
eee,asmt_stdnt_abi,kmeans,fscore,0.0012970168612191958
eee,asmt_stdnt_abi,kmeans,precision,0.044444444444444446
eee,asmt_stdnt_abi,kmeans,recall,0.022727272727272728
fff,asmt,kmeans,accuracy,0.9832764952780693
fff,asmt,kmeans,fscore,0.0
fff,asmt,kmeans,precision,0.0
fff,asmt,kmeans,recall,0.0
fff,stdnt,kmeans,accuracy,0.9656348373557188
fff,stdnt,kmeans,fscore,0.0006556087327083197
fff,stdnt,kmeans,precision,0.0196078431372549
fff,stdnt,kmeans,recall,0.017921146953405017
fff,abd,kmeans,accuracy,0.9610440713536201
fff,abd,kmeans,fscore,0.0035351882160392797
fff,abd,kmeans,precision,0.10588235294117647
fff,abd,kmeans,recall,0.06870229007633588
fff,abi,kmeans,accuracy,0.9660283315844701
fff,abi,kmeans,fscore,0.004841347726529277
fff,abi,kmeans,precision,0.1450980392156863
fff,abi,kmeans,recall,0.10979228486646884
fff,asmt_stdnt,kmeans,accuracy,0.9565188877229801
fff,asmt_stdnt,kmeans,fscore,0.0034044781982453844
fff,asmt_stdnt,kmeans,precision,0.10196078431372549
fff,asmt_stdnt,kmeans,recall,0.05652173913043478
fff,asmt_abd,kmeans,accuracy,0.9615687303252886
fff,asmt_abd,kmeans,fscore,0.005363333115311662
fff,asmt_abd,kmeans,precision,0.1607843137254902
fff,asmt_abd,kmeans,recall,0.09927360774818401
fff,asmt_abi,kmeans,accuracy,0.9647166841552991
fff,asmt_abi,kmeans,fscore,0.005885045445628719
fff,asmt_abi,kmeans,precision,0.17647058823529413
fff,asmt_abi,kmeans,recall,0.12064343163538874
fff,stdnt_abd,kmeans,accuracy,0.9600603357817419
fff,stdnt_abd,kmeans,fscore,0.002881466928618206
fff,stdnt_abd,kmeans,precision,0.08627450980392157
fff,stdnt_abd,kmeans,recall,0.05527638190954774
fff,stdnt_abi,kmeans,accuracy,0.9648478488982162
fff,stdnt_abi,kmeans,fscore,0.004188481675392671
fff,stdnt_abi,kmeans,precision,0.12549019607843137
fff,stdnt_abi,kmeans,recall,0.0927536231884058
fff,asmt_stdnt_abd,kmeans,accuracy,0.9616343126967472
fff,asmt_stdnt_abd,kmeans,fscore,0.005754642950562386
fff,asmt_stdnt_abd,kmeans,precision,0.17254901960784313
fff,asmt_stdnt_abd,kmeans,recall,0.10526315789473684
fff,asmt_stdnt_abi,kmeans,accuracy,0.9626180482686254
fff,asmt_stdnt_abi,kmeans,fscore,0.004971869684678791
fff,asmt_stdnt_abi,kmeans,precision,0.14901960784313725
fff,asmt_stdnt_abi,kmeans,recall,0.09718670076726342
ggg,asmt,kmeans,accuracy,0.9777624942686841
ggg,asmt,kmeans,fscore,0.0
ggg,asmt,kmeans,precision,0.0
ggg,asmt,kmeans,recall,0.0
ggg,stdnt,kmeans,accuracy,0.9777624942686841
ggg,stdnt,kmeans,fscore,0.0
ggg,stdnt,kmeans,precision,0.0
ggg,stdnt,kmeans,recall,0.0
ggg,abd,kmeans,accuracy,0.9559834938101788
ggg,abd,kmeans,fscore,0.0036613272311212816
ggg,abd,kmeans,precision,0.08247422680412371
ggg,abd,kmeans,recall,0.07207207207207207
ggg,abi,kmeans,accuracy,0.9649243466299863
ggg,abi,kmeans,fscore,0.002289901534234028
ggg,abi,kmeans,precision,0.05154639175257732
ggg,abi,kmeans,recall,0.07575757575757576
ggg,asmt_stdnt,kmeans,accuracy,0.9713434204493352
ggg,asmt_stdnt,kmeans,fscore,0.0013745704467353953
ggg,asmt_stdnt,kmeans,precision,0.030927835051546393
ggg,asmt_stdnt,kmeans,recall,0.08823529411764706
ggg,asmt_abd,kmeans,accuracy,0.9585052728106374
ggg,asmt_abd,kmeans,fscore,0.006854009595613434
ggg,asmt_abd,kmeans,precision,0.15463917525773196
ggg,asmt_abd,kmeans,recall,0.13157894736842105
ggg,asmt_abi,kmeans,accuracy,0.9646950939935809
ggg,asmt_abi,kmeans,fscore,0.004574565416285453
ggg,asmt_abi,kmeans,precision,0.10309278350515463
ggg,asmt_abi,kmeans,recall,0.12987012987012986
ggg,stdnt_abd,kmeans,accuracy,0.9569005043558001
ggg,stdnt_abd,kmeans,fscore,0.0018323408153916628
ggg,stdnt_abd,kmeans,precision,0.041237113402061855
ggg,stdnt_abd,kmeans,recall,0.04040404040404041
