module,attributes,extraction,metric,score
ccc,abd,pca,accuracy,0.9169045353631462
ccc,abd,pca,fscore,0.0
ccc,abd,pca,precision,0.0
ccc,abd,pca,recall,0.0
ccc,abi,pca,accuracy,0.9169045353631462
ccc,abi,pca,fscore,0.0
ccc,abi,pca,precision,0.0
ccc,abi,pca,recall,0.0
ccc,asmt_stdnt,pca,accuracy,0.9169045353631462
ccc,asmt_stdnt,pca,fscore,0.0
ccc,asmt_stdnt,pca,precision,0.0
ccc,asmt_stdnt,pca,recall,0.0
ccc,asmt_abd,pca,accuracy,0.9169045353631462
ccc,asmt_abd,pca,fscore,0.0
ccc,asmt_abd,pca,precision,0.0
ccc,asmt_abd,pca,recall,0.0
ccc,asmt_abi,pca,accuracy,0.9169045353631462
ccc,asmt_abi,pca,fscore,0.0
ccc,asmt_abi,pca,precision,0.0
ccc,asmt_abi,pca,recall,0.0
ccc,stdnt_abd,pca,accuracy,0.9169045353631462
ccc,stdnt_abd,pca,fscore,0.0
ccc,stdnt_abd,pca,precision,0.0
ccc,stdnt_abd,pca,recall,0.0
ccc,stdnt_abi,pca,accuracy,0.9169045353631462
ccc,stdnt_abi,pca,fscore,0.0
ccc,stdnt_abi,pca,precision,0.0
ccc,stdnt_abi,pca,recall,0.0
ccc,asmt_stdnt_abd,pca,accuracy,0.9169045353631462
ccc,asmt_stdnt_abd,pca,fscore,0.0
ccc,asmt_stdnt_abd,pca,precision,0.0
ccc,asmt_stdnt_abd,pca,recall,0.0
ccc,asmt_stdnt_abi,pca,accuracy,0.9169045353631462
ccc,asmt_stdnt_abi,pca,fscore,0.0
ccc,asmt_stdnt_abi,pca,precision,0.0
ccc,asmt_stdnt_abi,pca,recall,0.0
ddd,asmt,pca,accuracy,0.9348480288895576
ddd,asmt,pca,fscore,0.0
ddd,asmt,pca,precision,0.0
ddd,asmt,pca,recall,0.0
ddd,stdnt,pca,accuracy,0.9348480288895576
ddd,stdnt,pca,fscore,0.0
ddd,stdnt,pca,precision,0.0
ddd,stdnt,pca,recall,0.0
ddd,abd,pca,accuracy,0.9348480288895576
ddd,abd,pca,fscore,0.0
ddd,abd,pca,precision,0.0
ddd,abd,pca,recall,0.0
ddd,abi,pca,accuracy,0.9348480288895576
ddd,abi,pca,fscore,0.0
ddd,abi,pca,precision,0.0
ddd,abi,pca,recall,0.0
ddd,asmt_stdnt,pca,accuracy,0.9348480288895576
ddd,asmt_stdnt,pca,fscore,0.0
ddd,asmt_stdnt,pca,precision,0.0
ddd,asmt_stdnt,pca,recall,0.0
ddd,asmt_abd,pca,accuracy,0.9348480288895576
ddd,asmt_abd,pca,fscore,0.0
ddd,asmt_abd,pca,precision,0.0
ddd,asmt_abd,pca,recall,0.0
ddd,asmt_abi,pca,accuracy,0.9348480288895576
ddd,asmt_abi,pca,fscore,0.0
ddd,asmt_abi,pca,precision,0.0
ddd,asmt_abi,pca,recall,0.0
ddd,stdnt_abd,pca,accuracy,0.9348480288895576
ddd,stdnt_abd,pca,fscore,0.0
ddd,stdnt_abd,pca,precision,0.0
ddd,stdnt_abd,pca,recall,0.0
ddd,stdnt_abi,pca,accuracy,0.9348480288895576
ddd,stdnt_abi,pca,fscore,0.0
ddd,stdnt_abi,pca,precision,0.0
ddd,stdnt_abi,pca,recall,0.0
ddd,asmt_stdnt_abd,pca,accuracy,0.9348480288895576
ddd,asmt_stdnt_abd,pca,fscore,0.0
ddd,asmt_stdnt_abd,pca,precision,0.0
ddd,asmt_stdnt_abd,pca,recall,0.0
ddd,asmt_stdnt_abi,pca,accuracy,0.9348480288895576
ddd,asmt_stdnt_abi,pca,fscore,0.0
ddd,asmt_stdnt_abi,pca,precision,0.0
ddd,asmt_stdnt_abi,pca,recall,0.0
eee,asmt,pca,accuracy,0.9853990914990266
eee,asmt,pca,fscore,0.0
eee,asmt,pca,precision,0.0
eee,asmt,pca,recall,0.0
eee,stdnt,pca,accuracy,0.9853990914990266
eee,stdnt,pca,fscore,0.0
eee,stdnt,pca,precision,0.0
eee,stdnt,pca,recall,0.0
eee,abd,pca,accuracy,0.9853990914990266
eee,abd,pca,fscore,0.0
eee,abd,pca,precision,0.0
eee,abd,pca,recall,0.0
eee,abi,pca,accuracy,0.9853990914990266
eee,abi,pca,fscore,0.0
eee,abi,pca,precision,0.0
eee,abi,pca,recall,0.0
eee,asmt_stdnt,pca,accuracy,0.9853990914990266
eee,asmt_stdnt,pca,fscore,0.0
eee,asmt_stdnt,pca,precision,0.0
eee,asmt_stdnt,pca,recall,0.0
eee,asmt_abd,pca,accuracy,0.9853990914990266
eee,asmt_abd,pca,fscore,0.0
eee,asmt_abd,pca,precision,0.0
eee,asmt_abd,pca,recall,0.0
eee,asmt_abi,pca,accuracy,0.9853990914990266
eee,asmt_abi,pca,fscore,0.0
eee,asmt_abi,pca,precision,0.0
eee,asmt_abi,pca,recall,0.0
eee,stdnt_abd,pca,accuracy,0.9853990914990266
eee,stdnt_abd,pca,fscore,0.0
eee,stdnt_abd,pca,precision,0.0
eee,stdnt_abd,pca,recall,0.0
eee,stdnt_abi,pca,accuracy,0.9853990914990266
eee,stdnt_abi,pca,fscore,0.0
eee,stdnt_abi,pca,precision,0.0
eee,stdnt_abi,pca,recall,0.0
eee,asmt_stdnt_abd,pca,accuracy,0.9853990914990266
eee,asmt_stdnt_abd,pca,fscore,0.0
eee,asmt_stdnt_abd,pca,precision,0.0
eee,asmt_stdnt_abd,pca,recall,0.0
eee,asmt_stdnt_abi,pca,accuracy,0.9853990914990266
eee,asmt_stdnt_abi,pca,fscore,0.0
eee,asmt_stdnt_abi,pca,precision,0.0
eee,asmt_stdnt_abi,pca,recall,0.0
fff,asmt,pca,accuracy,0.9832764952780693
fff,asmt,pca,fscore,0.0
fff,asmt,pca,precision,0.0
fff,asmt,pca,recall,0.0
fff,stdnt,pca,accuracy,0.9832764952780693
fff,stdnt,pca,fscore,0.0
fff,stdnt,pca,precision,0.0
fff,stdnt,pca,recall,0.0
fff,abd,pca,accuracy,0.9832764952780693
fff,abd,pca,fscore,0.0
fff,abd,pca,precision,0.0
fff,abd,pca,recall,0.0
fff,abi,pca,accuracy,0.9832764952780693
fff,abi,pca,fscore,0.0
fff,abi,pca,precision,0.0
fff,abi,pca,recall,0.0
fff,asmt_stdnt,pca,accuracy,0.9832764952780693
fff,asmt_stdnt,pca,fscore,0.0
fff,asmt_stdnt,pca,precision,0.0
fff,asmt_stdnt,pca,recall,0.0
fff,asmt_abd,pca,accuracy,0.9832764952780693
fff,asmt_abd,pca,fscore,0.0
fff,asmt_abd,pca,precision,0.0
fff,asmt_abd,pca,recall,0.0
fff,asmt_abi,pca,accuracy,0.9832764952780693
fff,asmt_abi,pca,fscore,0.0
fff,asmt_abi,pca,precision,0.0
fff,asmt_abi,pca,recall,0.0
fff,stdnt_abd,pca,accuracy,0.9832764952780693
fff,stdnt_abd,pca,fscore,0.0
fff,stdnt_abd,pca,precision,0.0
fff,stdnt_abd,pca,recall,0.0
fff,stdnt_abi,pca,accuracy,0.9832764952780693
fff,stdnt_abi,pca,fscore,0.0
fff,stdnt_abi,pca,precision,0.0
fff,stdnt_abi,pca,recall,0.0
fff,asmt_stdnt_abd,pca,accuracy,0.9832764952780693
fff,asmt_stdnt_abd,pca,fscore,0.0
fff,asmt_stdnt_abd,pca,precision,0.0
fff,asmt_stdnt_abd,pca,recall,0.0
fff,asmt_stdnt_abi,pca,accuracy,0.9832764952780693
fff,asmt_stdnt_abi,pca,fscore,0.0
fff,asmt_stdnt_abi,pca,precision,0.0
fff,asmt_stdnt_abi,pca,recall,0.0
ggg,asmt,pca,accuracy,0.9777624942686841
ggg,asmt,pca,fscore,0.0
ggg,asmt,pca,precision,0.0
ggg,asmt,pca,recall,0.0
ggg,stdnt,pca,accuracy,0.9777624942686841
ggg,stdnt,pca,fscore,0.0
ggg,stdnt,pca,precision,0.0
ggg,stdnt,pca,recall,0.0
ggg,abd,pca,accuracy,0.9777624942686841
ggg,abd,pca,fscore,0.0
ggg,abd,pca,precision,0.0
ggg,abd,pca,recall,0.0
ggg,abi,pca,accuracy,0.9777624942686841
ggg,abi,pca,fscore,0.0
ggg,abi,pca,precision,0.0
ggg,abi,pca,recall,0.0
ggg,asmt_stdnt,pca,accuracy,0.9777624942686841
ggg,asmt_stdnt,pca,fscore,0.0
ggg,asmt_stdnt,pca,precision,0.0
ggg,asmt_stdnt,pca,recall,0.0
ggg,asmt_abd,pca,accuracy,0.9777624942686841
ggg,asmt_abd,pca,fscore,0.0
ggg,asmt_abd,pca,precision,0.0
ggg,asmt_abd,pca,recall,0.0
ggg,asmt_abi,pca,accuracy,0.9777624942686841
ggg,asmt_abi,pca,fscore,0.0
ggg,asmt_abi,pca,precision,0.0
ggg,asmt_abi,pca,recall,0.0
ggg,stdnt_abd,pca,accuracy,0.9777624942686841
ggg,stdnt_abd,pca,fscore,0.0
ggg,stdnt_abd,pca,precision,0.0
ggg,stdnt_abd,pca,recall,0.0
ggg,stdnt_abi,pca,accuracy,0.9777624942686841
ggg,stdnt_abi,pca,fscore,0.0
ggg,stdnt_abi,pca,precision,0.0
ggg,stdnt_abi,pca,recall,0.0
ggg,asmt_stdnt_abd,pca,accuracy,0.9777624942686841
ggg,asmt_stdnt_abd,pca,fscore,0.0
ggg,asmt_stdnt_abd,pca,precision,0.0
ggg,asmt_stdnt_abd,pca,recall,0.0
ggg,asmt_stdnt_abi,pca,accuracy,0.9777624942686841
ggg,asmt_stdnt_abi,pca,fscore,0.0
ggg,asmt_stdnt_abi,pca,precision,0.0
ggg,asmt_stdnt_abi,pca,recall,0.0
zzz,asmt,pca,accuracy,0.9473286290322581
zzz,asmt,pca,fscore,0.0
zzz,asmt,pca,precision,0.0
zzz,asmt,pca,recall,0.0
zzz,stdnt,pca,accuracy,0.9473286290322581
zzz,stdnt,pca,fscore,0.0
zzz,stdnt,pca,precision,0.0
zzz,stdnt,pca,recall,0.0
zzz,abd,pca,accuracy,0.9473286290322581
zzz,abd,pca,fscore,0.0
zzz,abd,pca,precision,0.0
zzz,abd,pca,recall,0.0
zzz,abi,pca,accuracy,0.9473286290322581
zzz,abi,pca,fscore,0.0
zzz,abi,pca,precision,0.0
zzz,abi,pca,recall,0.0
zzz,asmt_stdnt,pca,accuracy,0.9473286290322581
zzz,asmt_stdnt,pca,fscore,0.0
zzz,asmt_stdnt,pca,precision,0.0
zzz,asmt_stdnt,pca,recall,0.0
zzz,asmt_abd,pca,accuracy,0.9473286290322581
zzz,asmt_abd,pca,fscore,0.0
zzz,asmt_abd,pca,precision,0.0
zzz,asmt_abd,pca,recall,0.0
zzz,asmt_abi,pca,accuracy,0.9473286290322581
zzz,asmt_abi,pca,fscore,0.0
zzz,asmt_abi,pca,precision,0.0
zzz,asmt_abi,pca,recall,0.0
zzz,stdnt_abd,pca,accuracy,0.9473286290322581
zzz,stdnt_abd,pca,fscore,0.0
zzz,stdnt_abd,pca,precision,0.0
zzz,stdnt_abd,pca,recall,0.0
zzz,stdnt_abi,pca,accuracy,0.9473286290322581
zzz,stdnt_abi,pca,fscore,0.0
zzz,stdnt_abi,pca,precision,0.0
zzz,stdnt_abi,pca,recall,0.0
zzz,asmt_stdnt_abd,pca,accuracy,0.9473286290322581
zzz,asmt_stdnt_abd,pca,fscore,0.0
zzz,asmt_stdnt_abd,pca,precision,0.0
zzz,asmt_stdnt_abd,pca,recall,0.0
zzz,asmt_stdnt_abi,pca,accuracy,0.9473286290322581
zzz,asmt_stdnt_abi,pca,fscore,0.0
zzz,asmt_stdnt_abi,pca,precision,0.0
zzz,asmt_stdnt_abi,pca,recall,0.0
