module,attributes,sample,metric,score
ccc,abi,non-smote,fscore,0.039585492227979274
ccc,abi,non-smote,precision,0.2430025445292621
ccc,abi,non-smote,recall,0.12741827885256837
ccc,asmt_stdnt,non-smote,accuracy,0.8148852944285865
ccc,asmt_stdnt,non-smote,fscore,0.02670282674454991
ccc,asmt_stdnt,non-smote,precision,0.1628498727735369
ccc,asmt_stdnt,non-smote,recall,0.10483210483210484
ccc,asmt_abd,non-smote,accuracy,0.792895654931811
ccc,asmt_abd,non-smote,fscore,0.031015820149875105
ccc,asmt_abd,non-smote,precision,0.1895674300254453
ccc,asmt_abd,non-smote,recall,0.10129163834126445
ccc,asmt_abi,non-smote,accuracy,0.754836663495084
ccc,asmt_abi,non-smote,fscore,0.0523010398435087
ccc,asmt_abi,non-smote,precision,0.3231552162849873
ccc,asmt_abi,non-smote,recall,0.12444879960803527
ccc,stdnt_abd,non-smote,accuracy,0.8011417697431018
ccc,stdnt_abd,non-smote,fscore,0.0346976937461043
ccc,stdnt_abd,non-smote,precision,0.21246819338422393
ccc,stdnt_abd,non-smote,recall,0.11686494051784464
ccc,stdnt_abi,non-smote,accuracy,0.8043133523628291
ccc,stdnt_abi,non-smote,fscore,0.032039945906584835
ccc,stdnt_abi,non-smote,precision,0.19592875318066158
ccc,stdnt_abi,non-smote,recall,0.11216314639475601
ccc,asmt_stdnt_abd,non-smote,accuracy,0.7805264827148747
ccc,asmt_stdnt_abd,non-smote,fscore,0.04283054003724395
ccc,asmt_stdnt_abd,non-smote,precision,0.2633587786259542
ccc,asmt_stdnt_abd,non-smote,recall,0.12147887323943662
ccc,asmt_stdnt_abi,non-smote,accuracy,0.7946928850829897
ccc,asmt_stdnt_abi,non-smote,fscore,0.037958929682638455
ccc,asmt_stdnt_abi,non-smote,precision,0.23282442748091603
ccc,asmt_stdnt_abi,non-smote,recall,0.1202365308804205
ddd,asmt,non-smote,accuracy,0.9348480288895576
ddd,asmt,non-smote,fscore,0.0
ddd,asmt,non-smote,precision,0.0
ddd,asmt,non-smote,recall,0.0
ddd,stdnt,non-smote,accuracy,0.8925669575684623
ddd,stdnt,non-smote,fscore,0.0065986802639472104
ddd,stdnt,non-smote,precision,0.050808314087759814
ddd,stdnt,non-smote,recall,0.06769230769230769
ddd,abd,non-smote,accuracy,0.8093590129401144
ddd,abd,non-smote,fscore,0.03139810426540284
ddd,abd,non-smote,precision,0.24480369515011546
ddd,abd,non-smote,recall,0.10133843212237094
ddd,abi,non-smote,accuracy,0.8412578994884141
ddd,abi,non-smote,fscore,0.030523040450437102
ddd,abi,non-smote,precision,0.23787528868360278
ddd,abi,non-smote,recall,0.12439613526570048
ddd,asmt_stdnt,non-smote,accuracy,0.8578092085464941
ddd,asmt_stdnt,non-smote,fscore,0.02143495087823757
ddd,asmt_stdnt,non-smote,precision,0.16628175519630484
ddd,asmt_stdnt,non-smote,recall,0.10975609756097561
ddd,asmt_abd,non-smote,accuracy,0.816430935901294
ddd,asmt_abd,non-smote,fscore,0.04701733764325595
ddd,asmt_abd,non-smote,precision,0.3695150115473441
ddd,asmt_abd,non-smote,recall,0.14453477868112014
ddd,asmt_abi,non-smote,accuracy,0.8295215167017755
ddd,asmt_abi,non-smote,fscore,0.036922168069709056
ddd,asmt_abi,non-smote,precision,0.28868360277136257
ddd,asmt_abi,non-smote,recall,0.13157894736842105
ddd,stdnt_abd,non-smote,accuracy,0.8111646102919049
ddd,stdnt_abd,non-smote,fscore,0.029647198339756892
ddd,stdnt_abd,non-smote,precision,0.23094688221709006
ddd,stdnt_abd,non-smote,recall,0.09784735812133072
ddd,stdnt_abi,non-smote,accuracy,0.8439662955160999
ddd,stdnt_abi,non-smote,fscore,0.03285481722657984
ddd,stdnt_abi,non-smote,precision,0.25635103926096997
